Order ID,Order Date,Customer Name,Order Type,Total Quantity,Perfume Oils Quantity,Perfume Oils Bottle Sizes,Unit Price(Perfume Oil),Body Splashes Quantity,Unit Price (Body Splashes),Boxed Perfume Quantity,Boxed Perfume(Unit Price),Total Price,Payment Method,Shipping Method,Shipping Cost,Order Status
68,2025-01-08 00:00:00,Allison Hill,Wholesale,76,31,6ml,18.05,14,29.5,31,92.24,3831.99,Mobile Money,Delivery,,Complete
69,2025-01-02 00:00:00,Ella A,Wholesale,149,50,50ml nozzle(Preorder),115.59,91,25.13,8,60.34,8549.05,Cash,Pick Up,,Complete
70,2025-01-25 00:00:00,Noah Rhodes,Wholesale,114,43,6ml,9.24,35,30.98,36,35.36,2754.58,Cash,Pick Up,,Complete
71,2025-01-21 00:00:00,Angie Henderson,Retail,10,4,3ml,12.89,6,27.12,,,214.28,Cash,Pick Up,,Complete
72,2025-03-13 00:00:00,Daniel Wagner,Retail,10,3,3ml,12.36,1,31.14,6,98.94,696.86,Cash,Delivery,35,Complete
73,2025-02-13 00:00:00,Cristian Santos,Retail,3,2,6ml,19.39,1,29.93,,,68.71,Bank Transfer,Delivery,,Complete
74,2025-01-15 00:00:00,Connie Lawrence,Wholesale,47,29,15ml,44.79,12,28.88,6,68.1,2054.07,Cash,Pick Up,,Complete
75,2025-02-24 00:00:00,Abigail Shaffer,Wholesale,86,51,3ml,6.82,17,34.03,18,91.1,2566.13,Cash,Pick Up,,Complete
76,2025-05-30 00:00:00,Gina Moore,Retail,8,2,6ml,12.19,2,27.54,4,46.92,267.14,Cash,Pick Up,,Complete
77,2025-06-02 00:00:00,Gabrielle Davis,Wholesale,41,32,3ml,11.43,7,32.64,2,39,672.24,Cash,Delivery,,Complete
78,2025-06-14 00:00:00,Akosua B,Retail,9,4,3ml,12.51,4,19.95,1,91.7,221.54,Cash,Pick Up,,Complete
79,2025-06-10 00:00:00,Ryan Munoz,Retail,7,2,3ml,14.64,3,32.89,2,46.96,221.87,Mobile Money,Delivery,,Complete
80,2025-05-06 00:00:00,Monica Herrera,Wholesale,45,23,50ml,148.49,5,33.68,17,94.13,5183.88,Cash,Pick Up,,Complete
81,2025-05-17 00:00:00,Blessing,Retail,4,,,,1,32.93,3,96.18,381.47,Mobile Money,Delivery,60,Complete
82,2025-06-21 00:00:00,Jamie Arnold,Wholesale,127,42,50ml,140.63,33,25.19,52,43.25,9066.73,Cash,Delivery,80,Complete
83,2025-01-02 00:00:00,Lisa Hensley,Retail,9,7,6ml,11.82,,,2,52.34,187.42,Mobile Money,Delivery,,Complete
84,2025-05-28 00:00:00,Zoe,Wholesale,23,1,3ml,9.39,10,22.73,12,62.95,992.09,Bank Transfer,Delivery,,Complete
85,2025-04-30 00:00:00,Michele Williams,Retail,7,3,3ml,12.34,,,4,53.51,251.06,Cash,Pick Up,,Complete
86,2025-02-05 00:00:00,Dylan Miller,Wholesale,31,3,50ml nozzle(Preorder),92.05,12,32.65,16,45.9,1402.35,Cash,Delivery,,Complete
87,2025-05-19 00:00:00,Brian Ramirez,Retail,8,3,30ml,96.16,,,5,89.63,771.63,Bank Transfer,Delivery,35,Complete
